"Time","cadvisor","charming_mirzakhani","charming_williams","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-29 06:36:45,17.5 MiB,1.25 MiB,128 KiB,16.3 MiB,15.7 MiB,99.1 MiB,272 MiB,256 MiB,247 MiB,244 MiB,426 MiB,417 MiB,111 MiB
2026-07-29 06:37:00,19.2 MiB,1.25 MiB,128 KiB,16.2 MiB,15.5 MiB,99.1 MiB,284 MiB,256 MiB,247 MiB,255 MiB,442 MiB,423 MiB,111 MiB
2026-07-29 06:37:15,18.4 MiB,1.25 MiB,128 KiB,16.3 MiB,16.1 MiB,99.1 MiB,297 MiB,267 MiB,271 MiB,269 MiB,447 MiB,434 MiB,111 MiB
2026-07-29 06:37:30,18.1 MiB,1.25 MiB,128 KiB,16.2 MiB,16.3 MiB,99.1 MiB,297 MiB,275 MiB,266 MiB,276 MiB,458 MiB,441 MiB,111 MiB
2026-07-29 06:37:45,18.1 MiB,1.25 MiB,128 KiB,16.0 MiB,16.3 MiB,99.1 MiB,295 MiB,268 MiB,270 MiB,269 MiB,463 MiB,443 MiB,111 MiB
2026-07-29 06:38:00,20.0 MiB,1.25 MiB,128 KiB,15.7 MiB,16.0 MiB,99.1 MiB,303 MiB,272 MiB,279 MiB,273 MiB,468 MiB,443 MiB,111 MiB
2026-07-29 06:38:15,17.9 MiB,1.25 MiB,128 KiB,16 MiB,16.2 MiB,99.1 MiB,317 MiB,290 MiB,280 MiB,284 MiB,478 MiB,457 MiB,111 MiB
2026-07-29 06:38:30,18.5 MiB,1.25 MiB,128 KiB,15.9 MiB,15.8 MiB,99.1 MiB,317 MiB,301 MiB,289 MiB,294 MiB,481 MiB,464 MiB,111 MiB
2026-07-29 06:38:45,17.7 MiB,1.25 MiB,128 KiB,16.1 MiB,15.9 MiB,99.1 MiB,332 MiB,306 MiB,289 MiB,308 MiB,490 MiB,472 MiB,101 MiB
2026-07-29 06:39:00,17.7 MiB,1.25 MiB,128 KiB,8.18 MiB,7.54 MiB,99.1 MiB,138 MiB,307 MiB,124 MiB,131 MiB,184 MiB,178 MiB,101 MiB
2026-07-29 06:39:15,17.8 MiB,1.25 MiB,128 KiB,8.18 MiB,7.29 MiB,99.1 MiB,138 MiB,121 MiB,124 MiB,131 MiB,201 MiB,193 MiB,107 MiB
2026-07-29 06:39:30,21.2 MiB,1.25 MiB,128 KiB,7.41 MiB,7.65 MiB,99.1 MiB,148 MiB,121 MiB,125 MiB,131 MiB,208 MiB,208 MiB,107 MiB
2026-07-29 06:39:45,18.6 MiB,1.25 MiB,,7.27 MiB,7.65 MiB,99.1 MiB,157 MiB,128 MiB,135 MiB,135 MiB,208 MiB,208 MiB,107 MiB
2026-07-29 06:40:00,18.6 MiB,,,7.44 MiB,7.56 MiB,99.1 MiB,170 MiB,142 MiB,155 MiB,142 MiB,214 MiB,214 MiB,107 MiB
2026-07-29 06:40:15,17.9 MiB,,,7.79 MiB,7.45 MiB,99.1 MiB,168 MiB,158 MiB,157 MiB,159 MiB,227 MiB,214 MiB,113 MiB
2026-07-29 06:40:30,19.1 MiB,,,7.44 MiB,7.62 MiB,99.1 MiB,168 MiB,158 MiB,157 MiB,159 MiB,227 MiB,221 MiB,119 MiB
2026-07-29 06:40:45,17.7 MiB,,,7.77 MiB,7.77 MiB,99.1 MiB,166 MiB,158 MiB,161 MiB,159 MiB,231 MiB,221 MiB,119 MiB
2026-07-29 06:41:00,17.7 MiB,,,7.52 MiB,7.23 MiB,99.1 MiB,166 MiB,161 MiB,161 MiB,159 MiB,234 MiB,227 MiB,112 MiB
2026-07-29 06:41:15,19.8 MiB,,,7.67 MiB,7.51 MiB,99.1 MiB,172 MiB,161 MiB,162 MiB,161 MiB,234 MiB,228 MiB,112 MiB
2026-07-29 06:41:30,20.6 MiB,,,7.88 MiB,7.76 MiB,99.1 MiB,181 MiB,161 MiB,162 MiB,162 MiB,239 MiB,229 MiB,112 MiB
2026-07-29 06:41:45,20.3 MiB,,,7.62 MiB,7.71 MiB,99.1 MiB,181 MiB,157 MiB,164 MiB,171 MiB,238 MiB,235 MiB,112 MiB
2026-07-29 06:42:00,21.8 MiB,,,7.62 MiB,7.71 MiB,99.1 MiB,175 MiB,159 MiB,161 MiB,164 MiB,252 MiB,235 MiB,112 MiB
2026-07-29 06:42:15,18.8 MiB,,,8.16 MiB,8.24 MiB,99.1 MiB,182 MiB,162 MiB,167 MiB,166 MiB,245 MiB,242 MiB,112 MiB
2026-07-29 06:42:30,18.3 MiB,,,7.55 MiB,7.73 MiB,99.1 MiB,174 MiB,166 MiB,166 MiB,169 MiB,245 MiB,238 MiB,112 MiB
